movieId,title,posterUrl,rtScore,imdbScore,rating,runtime,studio,boxOffice,releaseDate
0,Captain America: The Winter Soldier,http://resizing.flixster.com/gxRJwetP1eNIrPR6xlWBfD_VaFc=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/72/11177246_ori.jpg,7.5,7.8,PG-13,136,Marvel Studios,"$714,766,572.00 ",04-Apr-14
1,Dawn of the Planet of the Apes,http://resizing.flixster.com/gDtbA1iPxTYEjBZeSsIYktCtUiw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/91/11189194_ori.jpg,7.9,7.7,PG-13,130,20th Century Fox,"$708,835,589.00 ",11-Jul-14
2,Guardians of the Galaxy,http://resizing.flixster.com/YrF_OeTQx3bXNsMLIy_NocjA4wI=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/80/11178082_ori.jpg,7.7,8.1,PG-13,121,Marvel Studios,"$774,176,600.00 ",01-Aug-14
3,Interstellar,http://resizing.flixster.com/l9yjA-72sZMYECeOjx-r14mgXtU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/19/08/11190860_ori.jpg,7,8.7,PG-13,169,Paramount Pictures / Warner Bros.,"$672,974,414.00 ",07-Nov-14
4,Maleficent,http://resizing.flixster.com/YukULOFULUesVZccNjOZzF1YX30=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/12/11181292_ori.jpg,5.7,7.1,PG,97,Walt Disney Pictures,"$758,654,942.00 ",30-May-14
5,The Amazing Spider-Man 2,http://resizing.flixster.com/uJRknhjV8s_CDr9Krj6hzk4GzYM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/00/11180032_ori.jpg,5.9,6.9,PG-13,142,Columbia Pictures,"$709,582,323.00 ",02-May-14
6,The Hobbit: The Battle of the Five Armies,http://resizing.flixster.com/KK-V3xB7CY355XaejcerpzryvDs=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/97/11179703_ori.jpg,6.3,7.5,PG-13,144,Warner Bros. / New Line Cinema / MGM,"$955,113,783.00 ",17-Dec-14
7,The Hunger Games: Mockingjay - Part 1,http://resizing.flixster.com/rrb4D1D8S1_ACJFg1qDpd6bY4cQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/98/11189899_ori.jpg,6.3,6.8,PG-13,123,Lionsgate Films,"$752,100,229.00 ",21-Nov-14
8,Transformers: Age of Extinction,http://resizing.flixster.com/jXWcxIKVUq4G-2vl7aClbKnOXr4=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/05/11180556_ori.jpg,3.9,5.8,PG-13,165,Paramount Pictures,"$1,091,404,499.00 ",27-Jun-14
9,X-Men: Days of Future Past,http://resizing.flixster.com/Oi1KcdBv_gG5Xqk84faEkayyX9E=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/08/11180875_ori.jpg,7.6,8.1,PG-13,131,20th Century Fox,"$748,121,534.00 ",23-May-14
10,Despicable Me 2,http://resizing.flixster.com/UFoFQEayDyhzauy9wL-1wGTuKJA=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/21/11172174_ori.jpg,6.6,7.5,PG,98,Universal / Illumination,"$970,761,885.00 ",03-Jul-13
11,Fast & Furious 6,http://resizing.flixster.com/FsHv4OrR7Fk9IQkc3Jg-Npmypzc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/33/11173373_ori.jpg,6.2,7.2,PG-13,130,Universal,"$788,679,850.00 ",24-May-13
12,Frozen,http://resizing.flixster.com/M3JgYWjuLaOPruIuhLfHA0GwmtY=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/35/11173584_ori.jpg,7.7,7.7,PG,102,Walt Disney Pictures,"$1,274,219,009.00 ",27-Nov-13
13,Gravity,http://resizing.flixster.com/5CbtiBSzqVjH_ckRVfzJvs-Ocns=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/64/11176450_ori.jpg,9,7.9,PG-13,91,Warner Bros.,"$716,392,705.00 ",04-Oct-13
14,Iron Man 3,http://resizing.flixster.com/M8S0ACxWUYK8FJV9hJwnDGK41ZA=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/05/11170594_ori.jpg,7,7.3,PG-13,130,Marvel Studios,"$1,215,439,994.00 ",03-May-13
15,Man of Steel,http://resizing.flixster.com/YdjyBNFfxu1P1f06WcVgadZg8Ow=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/42/11174287_ori.jpg,6.2,7.2,PG-13,143,Warner Bros. / Legendary,"$668,045,518.00 ",14-Jun-13
16,Monsters University,http://resizing.flixster.com/68fO9SugBdM8ljYJJ32dYp0bs7Q=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/99/11169964_ori.jpg,6.8,7.4,G,104,Walt Disney Pictures / Pixar,"$743,559,607.00 ",21-Jun-13
17,The Hobbit: The Desolation of Smaug,http://resizing.flixster.com/i3zwngMY9umqr8lAJLKAU4aYlAU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/69/11176940_ori.jpg,6.8,8,PG-13,161,Warner Bros. / New Line / MGM,"$960,366,855.00 ",13-Dec-13
